,OPTIMIZER,learning_rate,score
115,elta.Adadelta,0.14142272727272728,504
116,elta.Adadelta,0.15152363636363636,614
117,elta.Adadelta,0.16162454545454547,555
118,elta.Adadelta,0.17172545454545457,2765
119,elta.Adadelta,0.18182636363636365,1624
120,elta.Adadelta,0.19192727272727272,490
121,elta.Adadelta,0.20202818181818183,595
122,elta.Adadelta,0.21212909090909093,1518
123,elta.Adadelta,0.22223,4207755
124,elta.Adadelta,0.2323309090909091,1193
125,elta.Adadelta,0.2424318181818182,971297
126,elta.Adadelta,0.2525327272727273,1292
127,elta.Adadelta,0.2626336363636364,4177391
128,elta.Adadelta,0.27273454545454545,1887
129,elta.Adadelta,0.28283545454545456,485
130,elta.Adadelta,0.29293636363636366,712
131,elta.Adadelta,0.3030372727272727,666
132,elta.Adadelta,0.3131381818181818,489
133,elta.Adadelta,0.3232390909090909,496
134,elta.Adadelta,0.33334,1160
135,elta.Adadelta,0.34344090909090913,4258684
136,elta.Adadelta,0.3535418181818182,568
137,elta.Adadelta,0.3636427272727273,1082
138,elta.Adadelta,0.3737436363636364,416
139,elta.Adadelta,0.38384454545454544,796
140,elta.Adadelta,0.39394545454545454,930
141,elta.Adadelta,0.40404636363636365,456
142,elta.Adadelta,0.41414727272727275,547
143,elta.Adadelta,0.42424818181818186,574
144,elta.Adadelta,0.4343490909090909,653
145,elta.Adadelta,0.44445,1842
146,elta.Adadelta,0.4545509090909091,448
147,elta.Adadelta,0.46465181818181817,536
148,elta.Adadelta,0.47475272727272727,664
149,elta.Adadelta,0.4848536363636364,1314
150,elta.Adadelta,0.4949545454545455,486
151,elta.Adadelta,0.5050554545454545,857303
152,elta.Adadelta,0.5151563636363636,559
153,elta.Adadelta,0.5252572727272727,531
154,elta.Adadelta,0.5353581818181817,1027
155,elta.Adadelta,0.5454590909090908,745
156,elta.Adadelta,0.5555599999999999,584
157,elta.Adadelta,0.565660909090909,963
158,elta.Adadelta,0.5757618181818182,71049
159,elta.Adadelta,0.5858627272727273,87764
160,elta.Adadelta,0.5959636363636364,16036
161,elta.Adadelta,0.6060645454545454,572
162,elta.Adadelta,0.6161654545454545,4361365
163,elta.Adadelta,0.6262663636363636,1250
164,elta.Adadelta,0.6363672727272727,2383
165,elta.Adadelta,0.6464681818181818,1087
166,elta.Adadelta,0.6565690909090909,443
167,elta.Adadelta,0.66667,947
168,elta.Adadelta,0.6767709090909091,40013
169,elta.Adadelta,0.6868718181818182,736
170,elta.Adadelta,0.6969727272727272,508
171,elta.Adadelta,0.7070736363636363,4376474
172,elta.Adadelta,0.7171745454545454,2833
173,elta.Adadelta,0.7272754545454545,527
174,elta.Adadelta,0.7373763636363636,493
175,elta.Adadelta,0.7474772727272727,740
176,elta.Adadelta,0.7575781818181818,441181
177,elta.Adadelta,0.7676790909090908,23742
178,elta.Adadelta,0.7777799999999999,518
179,elta.Adadelta,0.787880909090909,754
180,elta.Adadelta,0.7979818181818181,254
181,elta.Adadelta,0.8080827272727272,64867
182,elta.Adadelta,0.8181836363636363,742
183,elta.Adadelta,0.8282845454545454,603
184,elta.Adadelta,0.8383854545454545,402
185,elta.Adadelta,0.8484863636363636,642
186,elta.Adadelta,0.8585872727272726,1113
187,elta.Adadelta,0.8686881818181817,68020
188,elta.Adadelta,0.8787890909090909,617
189,elta.Adadelta,0.88889,553
190,elta.Adadelta,0.8989909090909091,981
191,elta.Adadelta,0.9090918181818182,4302163
